NODE_1_length_2102747_cov_15.9658	sp|P40996|SCD2_SCHPO	36.8	598	310	9	38626	40416	2	532	2.7999999999999997e-83	321.2	sp|P40996|SCD2_SCHPO Protein scd2/ral3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=scd2 PE=4 SV=1	284812	38626	40416	1	fungi	1
NODE_1_length_2102747_cov_15.9658	sp|Q7S9H0|NUF2_NEUCR	56.2	464	198	1	81986	80610	1	464	9.199999999999993e-127	465.7	sp|Q7S9H0|NUF2_NEUCR Probable kinetochore protein nuf2 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=kpr-2 PE=3 SV=1	367110	80610	81986	2	fungi	2
NODE_1_length_2102747_cov_15.9658	sp|P0C1D3|CTF18_EMENI	40.0	974	429	23	131798	134683	163	993	5.899999999999997e-174	622.5	sp|P0C1D3|CTF18_EMENI Chromosome transmission fidelity protein 18 OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=ctf18 PE=3 SV=1	227321	131798	134683	3	fungi	3
NODE_1_length_2102747_cov_15.9658	sp|O14057|GUAD_SCHPO	46.7	473	214	6	141985	140573	8	444	2.9999999999999983e-109	407.5	sp|O14057|GUAD_SCHPO Probable guanine deaminase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC1672.03c PE=3 SV=1	284812	140570	141985	4	fungi	4
NODE_1_length_2102747_cov_15.9658	sp|P34229|FAS1_YARLI	59.2	2091	825	18	149955	143740	3	2083	0.0	2481.1	sp|P34229|FAS1_YARLI Fatty acid synthase subunit beta OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=FAS1 PE=3 SV=2	284591	143704	149955	5	fungi	5
NODE_1_length_2102747_cov_15.9658	sp|P78615|FAS2_EMEND	75.5	1692	402	6	154566	159629	176	1858	0.0	2577.7	sp|P78615|FAS2_EMEND Fatty acid synthase subunit alpha OS=Emericella nidulans OX=162425 GN=fasA PE=3 SV=1	162425	153995	159629	6	fungi	6
NODE_1_length_2102747_cov_15.9658	sp|Q02959|HOS3_YEAST	36.7	490	232	9	175203	173773	14	438	4.9e-80	310.5	sp|Q02959|HOS3_YEAST Histone deacetylase HOS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HOS3 PE=1 SV=1	559292	173773	175203	7	fungi	7
NODE_1_length_2102747_cov_15.9658	sp|O94460|TGT_SCHPO	62.2	400	149	2	181255	180056	7	404	4.0999999999999987e-143	520.0	sp|O94460|TGT_SCHPO Queuine tRNA-ribosyltransferase catalytic subunit OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC1687.19c PE=3 SV=1	284812	180056	181255	8	fungi	8
NODE_1_length_2102747_cov_15.9658	sp|Q12296|MAM3_YEAST	68.0	75	24	0	224392	224616	85	159	5.4000000000000005e-18	104.4	sp|Q12296|MAM3_YEAST Protein MAM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAM3 PE=1 SV=1	559292	224386	224616	9	fungi	9
NODE_1_length_2102747_cov_15.9658	sp|Q12296|MAM3_YEAST	50.5	370	160	6	224676	225779	159	507	1.2999999999999995e-88	339.0	sp|Q12296|MAM3_YEAST Protein MAM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAM3 PE=1 SV=1	559292	224676	225779	10	fungi	10
